# tarot_cards.csv
card_no,arcana,suit,rank,name_en,name_kr,symbols,mood,prompt_extra,negative_extra,output_slug
001,major,,0,The Fool,바보,"small bag, cliff, white flower, bright sky","innocent, beginning, light hope","romantic fantasy tarot illustration, symbolic composition of a traveler at the beginning of love","text, letters, watermark, deformed hands","the_fool"
002,major,,1,The Magician,마법사,"table, wand, cup, sword, pentacle, glowing hand","confident, charming, focused","romantic fantasy tarot illustration, symbolic composition of attraction and initiative","text, letters, watermark, extra fingers","the_magician"
003,major,,2,The High Priestess,여사제,"moon, veil, pillars, book, still water","mysterious, calm, intuitive","romantic fantasy tarot illustration, symbolic composition of hidden feelings and intuition","text, letters, watermark, blurry face","the_high_priestess"
004,major,,3,The Empress,여황제,"garden, crown, soft throne, wheat, venus symbol","warm, abundant, affectionate","romantic fantasy tarot illustration, symbolic composition of love, beauty, nurturing energy","text, letters, watermark, bad anatomy","the_empress"
005,major,,4,The Emperor,황제,"stone throne, ram motif, mountain, scepter","stable, firm, protective","romantic fantasy tarot illustration, symbolic composition of structure and reliability in love","text, letters, watermark, distorted body","the_emperor"
023,minor,cups,Ace,Ace of Cups,컵 에이스,"golden cup, flowing water, lotus, radiant light","tender, emotional, opening heart","romantic fantasy tarot illustration, symbolic composition of emotional beginning and new affection","text, letters, watermark, ugly hands","ace_of_cups"
024,minor,cups,Two,Two of Cups,컵 2,"two cups, ribbon, subtle glow, mirrored figures","mutual, sweet, balanced","romantic fantasy tarot illustration, symbolic composition of mutual attraction and emotional resonance","text, letters, watermark, duplicate limbs","two_of_cups"
039,minor,wands,Ace,Ace of Wands,완드 에이스,"glowing wand, sparks, sunrise, floating leaves","passionate, bold, exciting","romantic fantasy tarot illustration, symbolic composition of spark, desire, and romantic momentum","text, letters, watermark, broken fingers","ace_of_wands"
055,minor,swords,Ace,Ace of Swords,소드 에이스,"silver sword, wind, crown, sharp light","clear, tense, decisive","romantic fantasy tarot illustration, symbolic composition of truth, clarity, and emotional decision","text, letters, watermark, malformed hand","ace_of_swords"
071,minor,pentacles,Ace,Ace of Pentacles,펜타클 에이스,"gold coin, garden gate, ivy, warm earth light","stable, grounded, promising","romantic fantasy tarot illustration, symbolic composition of realistic affection and secure beginning","text, letters, watermark, poor anatomy","ace_of_pentacles"
